FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;Cerveza Andes IPA;5; $ 15.000,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly Doble 220g ;3; $ 42.300,00 
;;Charly Simple 110g;2; $ 22.200,00 
;;Clasic Doble 220g;8; $ 108.000,00 
;;Clasic Simple 110g ;5; $ 52.500,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;dip de barbacoa;; $ 1.100,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 49.400,00 
;;FERNET ;2; $ 14.000,00 
;;Freestyle;1; $ 20.400,00 
;;Gorillaz Doble;3; $ 48.000,00 
;;Gorillaz simple ;1; $ 13.000,00 
;;HC simple;2; $ 26.800,00 
;;HC TRIPLE;1; $ 19.700,00 
;;HIP HOP;2; $ 43.600,00 
;;KISS DOBLE;5; $ 76.000,00 
;;kiss triple;1; $ 18.500,00 
;;LADY GAGA;4; $ 39.600,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;3; $ 49.200,00 
;;Mala Fama Simple 110g ;1; $ 13.400,00 
;;Mala Fama Triple 330g ;3; $ 59.100,00 
;;NUGGETS X12 + PAPAS + BBQ;3; $ 25.500,00 
;;Nugget's X6 ;; $ 14.000,00 
;;Papas con Cheddar;1; $ 25.000,00 
;;Papas Queen ;; $ 9.000,00 
;;PATRICIO REY SIMPLE;2; $ 25.400,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 51.200,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 67.200,00 
;;Red Hot DOBLE;1; $ 15.100,00 
;;Red Hot Simple 110g ;1; $ 12.100,00 
;;RESIDENTE DOBLE;2; $ 32.800,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;techno Chicken;1; $ 10.100,00 
;;Duko Simple;3; $ 37.200,00 
;;Duko Doble;3; $ 46.200,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;John Lennon Mediana;3; $ 48.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;6 empanadas;2; $ 26.000,00 
;;12 empanadas;1; $ 25.000,00 
;;Freddie Mercury Mediana;1; $ 21.000,00 
27/1/2026;378642;AMERICANO + levite;1; $ 6.400,00 
;;Clasic Doble 220g;3; $ 40.500,00 
;;Clasic Simple 110g ;4; $ 42.000,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 10.400,00 
;;FERNET ;3; $ 21.000,00 
;;Freestyle;1; $ 20.400,00 
;;GANCIA;2; $ 14.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;Mala Fama Doble 220g;1; $ 16.400,00 
;;Nugget's X6 ;; $ 2.800,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 44.800,00 
;;RIHANNA ;2; $ 19.800,00 
;;Duko Doble;1; $ 15.400,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;378643;ACDC Doble;1; $ 15.500,00 
;;ACDC Simple ;2; $ 25.000,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;Andes Rubia;2; $ 6.000,00 
;;Beatle Doble 220g ;3; $ 44.700,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;BIZZARAP session #2;1; $ 9.900,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;2; $ 34.800,00 
;;Charly Doble 220g ;4; $ 56.400,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;14; $ 189.000,00 
;;Clasic Simple 110g ;11; $ 115.500,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;dip de cheddar;; $ 13.500,00 
;;ENVIO;; $ 36.400,00 
;;Freestyle;1; $ 20.400,00 
;;Gorillaz Doble;2; $ 32.000,00 
;;HC doble;4; $ 65.600,00 
;;HC simple;2; $ 26.800,00 
;;Heineken 464ml;1; $ 3.700,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS DOBLE;2; $ 30.400,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Mala Fama Doble 220g;5; $ 82.000,00 
;;Mala Fama Simple 110g ;4; $ 53.600,00 
;;Mala Fama Triple 330g ;3; $ 59.100,00 
;;NUGGETS X12 + PAPAS + BBQ;6; $ 51.000,00 
;;Nugget's X6 ;; $ 25.200,00 
;;Papas con Cheddar;3; $ 26.700,00 
;;Papas Queen ;; $ 18.000,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 51.200,00 
;;PROMO 2-- 2 x Charly doble ;4; $ 89.600,00 
;;Red Hot Simple 110g ;2; $ 24.200,00 
;;Red Hot Triple 330g ;1; $ 18.400,00 
;;RESIDENTE DOBLE;2; $ 32.800,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Rolling Stone Simple 110g ;3; $ 34.800,00 
;;Sprite 1.5L;3; $ 12.900,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;techno Chicken;1; $ 10.100,00 
;;Duko Simple;8; $ 99.200,00 
;;Duko Doble;5; $ 77.000,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;;NIRVANA  ;1; $ 14.200,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
28/1/2026;378644;2 tostados CLASSIC;1; $ 9.000,00 
;;ACDC Triple;1; $ 18.800,00 
;;Alma Fuerte ;1; $ 12.700,00 
;;Clasic Simple 110g ;2; $ 21.000,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 11.700,00 
;;Gorillaz Doble;3; $ 48.000,00 
;;MESA;;
;;Nugget's X6 ;; $ 2.800,00 
;;Papas con Cheddar;1; $ 8.200,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;PROMO 2-- 2 x Charly doble ;4; $ 89.600,00 
;;Red Hot DOBLE;2; $ 30.200,00 
;;RESIDENTE SIMPLE;2; $ 26.800,00 
;;RIHANNA ;4; $ 39.600,00 
;;Duko Doble;2; $ 30.800,00 
;378645;2 tostados CLASSIC;2; $ 18.000,00 
;;ACDC Doble;6; $ 93.000,00 
;;ACDC Simple ;5; $ 62.500,00 
;;ACDC Triple;1; $ 18.800,00 
;;Agua 500cc;1; $ 2.100,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 10.200,00 
;;Beatle Doble 220g ;7; $ 104.300,00 
;;Beatle Simple 110g ;1; $ 11.900,00 
;;BIZZARAP session #2;1; $ 9.900,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;Charly Doble 220g ;3; $ 42.300,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;18; $ 243.000,00 
;;Clasic Simple 110g ;5; $ 52.500,00 
;;Clasic Triple 330g;3; $ 50.400,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;10; $ 43.000,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 5.400,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 72.800,00 
;;Freestyle;1; $ 20.400,00 
;;Fried Onion Doble 220g;2; $ 30.200,00 
;;Gorillaz Doble;4; $ 64.000,00 
;;HC doble;9; $ 147.600,00 
;;HIP HOP;1; $ 21.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS DOBLE;1; $ 15.200,00 
;;LADY GAGA;4; $ 39.600,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Doble 220g;6; $ 98.400,00 
;;Mala Fama Simple 110g ;2; $ 26.800,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;6; $ 51.000,00 
;;Nugget's X6 ;; $ 11.200,00 
;;Papas con Cheddar;; $ 12.600,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;6; $ 49.800,00 
;;Papas Queen ;; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 128.000,00 
;;PROMO 2-- 2 x Charly doble ;10; $ 224.000,00 
;;Red Hot DOBLE;5; $ 75.500,00 
;;Red Hot Simple 110g ;4; $ 48.400,00 
;;RESIDENTE DOBLE;3; $ 49.200,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;RIHANNA ;2; $ 19.800,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;techno Chicken;2; $ 20.200,00 
;;Duko Simple;4; $ 49.600,00 
;;Duko Doble;6; $ 92.400,00 
;;Duko Triple 330g ;2; $ 37.400,00 
;;Beatle Triple ;1; $ 18.200,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Empanada de Carne;4; $ 10.000,00 
;;Empanada de Pollo;5; $ 12.500,00 
;;Empanada de Jamon y Queso;5; $ 12.500,00 
;;Elvis Presley MEDIANA;1; $ 27.000,00 
;;Elvis Presley XL;1; $ 34.000,00 
;;6 empanadas;1; $ 13.000,00 
;;3 empanadas;1; $ 7.000,00 
;;Kiss XL;1; $ 24.000,00 
29/1/2026;378646;ACDC Doble;1; $ 15.500,00 
;;AMERICANO + levite;1; $ 6.400,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;Clasic Doble 220g;6; $ 81.000,00 
;;Clasic Simple 110g ;1; $ 10.500,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 13.000,00 
;;LADY GAGA;1; $ 9.900,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Mala Fama Doble 220g;1; $ 16.400,00 
;;MESA;;
;;Nugget's X6 ;; $ 2.800,00 
;;Papas con Cheddar;1; $ 8.200,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 51.200,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 44.800,00 
;;RIHANNA ;2; $ 19.800,00 
;;NIRVANA  ;1; $ 14.200,00 
;378647;2 tostados CLASSIC;1; $ 9.000,00 
;;ACDC Doble;3; $ 46.500,00 
;;ACDC Simple ;4; $ 50.000,00 
;;Agua 500cc;2; $ 4.200,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 6.800,00 
;;Beatle Doble 220g ;4; $ 59.600,00 
;;Beatle Simple 110g ;3; $ 35.700,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;1; $ 14.100,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;15; $ 202.500,00 
;;Clasic Simple 110g ;8; $ 84.000,00 
;;Clasic Triple 330g;3; $ 50.400,00 
;;Coca Cola 1.5 Lts;6; $ 25.800,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 40.300,00 
;;HC doble;1; $ 16.400,00 
;;Heineken 464ml;1; $ 3.700,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 14.200,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;5; $ 25.000,00 
;;LEVITE 500ml;2; $ 4.200,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;2; $ 32.800,00 
;;Mala Fama Simple 110g ;2; $ 26.800,00 
;;Mala Fama Triple 330g ;1; $ 19.700,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Nugget's X6 ;; $ 8.400,00 
;;Papas con Cheddar;3; $ 30.900,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;2; $ 16.600,00 
;;Papas Queen ;; $ 18.000,00 
;;PATRICIO REY DOBLE;1; $ 15.700,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;4; $ 102.400,00 
;;PROMO 2-- 2 x Charly doble ;6; $ 134.400,00 
;;Red Hot DOBLE;1; $ 15.100,00 
;;Red Hot Simple 110g ;2; $ 24.200,00 
;;RESIDENTE DOBLE;2; $ 32.800,00 
;;RIHANNA ;4; $ 39.600,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Techno Chicken DOBLE ;1; $ 13.000,00 
;;Duko Simple;1; $ 12.400,00 
;;Duko Doble;3; $ 46.200,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;;FANTA 500 ml;2; $ 4.800,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;John Lennon XL;5; $ 110.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Empanada de Jamon y Queso;6; $ 15.000,00 
;;6 empanadas;3; $ 39.000,00 
;;3 empanadas;1; $ 7.000,00 
;;Freddie Mercury Mediana;1; $ 21.000,00 
30/1/2026;378648;Aros de Cebolla 6 unid.;; $ 6.800,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;Charly Doble 220g ;1; $ 14.100,00 
;;Charly Simple 110g;2; $ 22.200,00 
;;Clasic Doble 220g;2; $ 27.000,00 
;;Clasic Simple 110g ;2; $ 21.000,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 6.500,00 
;;FERNET ;3; $ 21.000,00 
;;Fried Onion Doble 220g;1; $ 15.100,00 
;;Gorillaz Doble;1; $ 16.000,00 
;;HIP HOP;1; $ 21.800,00 
;;Mala Fama Doble 220g;1; $ 16.400,00 
;;Mala Fama Triple 330g ;1; $ 19.700,00 
;;MESA;;
;;Papas con Cheddar;; $ 6.300,00 
;;Papas Queen ;; $ 6.000,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 44.800,00 
;;Red Hot DOBLE;1; $ 15.100,00 
;;Red Hot Simple 110g ;1; $ 12.100,00 
;;NIRVANA  ;1; $ 14.200,00 
;378649;2 tostados AMERICANOS;1; $ 9.000,00 
;;ACDC Doble;6; $ 93.000,00 
;;Agua 500cc;3; $ 6.300,00 
;;Alma Fuerte ;6; $ 76.200,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 27.200,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.100,00 
;;Beatle Doble 220g ;6; $ 89.400,00 
;;Beatle Simple 110g ;3; $ 35.700,00 
;;BIZARRAP Session #1 ;2; $ 19.800,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;Bob marley Simple;1; $ 11.300,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;2; $ 34.800,00 
;;Charly Doble 220g ;8; $ 112.800,00 
;;Charly Simple 110g;5; $ 55.500,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;28; $ 378.000,00 
;;Clasic Simple 110g ;19; $ 199.500,00 
;;Clasic Triple 330g;6; $ 100.800,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;14; $ 60.200,00 
;;Coca Cola Zero 1.5 Lts;3; $ 12.900,00 
;;dip de cheddar;; $ 21.600,00 
;;Eminem;2; $ 33.200,00 
;;ENVIO;; $ 130.000,00 
;;franui Chocolate con leche + chocolate blanco;2; $ 18.000,00 
;;Freestyle;6; $ 122.400,00 
;;Fried Onion Doble 220g;1; $ 15.100,00 
;;Gorillaz Doble;1; $ 16.000,00 
;;Gorillaz simple ;1; $ 13.000,00 
;;Gorillaz Triple;1; $ 19.300,00 
;;HC doble;6; $ 98.400,00 
;;HC TRIPLE;1; $ 19.700,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;1; $ 21.800,00 
;;KISS DOBLE;3; $ 45.600,00 
;;KISS SIMPLE;1; $ 12.200,00 
;;kiss triple;2; $ 37.000,00 
;;LATA Coca-Cola zero;1; $ 2.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;3; $ 8.400,00 
;;MADONNA veggie;2; $ 23.200,00 
;;Mala Fama Doble 220g;5; $ 82.000,00 
;;Mala Fama Simple 110g ;6; $ 80.400,00 
;;Mala Fama Triple 330g ;4; $ 78.800,00 
;;NUGGETS X12 + PAPAS + BBQ;9; $ 76.500,00 
;;Nugget's X6 ;; $ 36.400,00 
;;Papas con Cheddar;5; $ 87.200,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;7; $ 58.100,00 
;;Papas Queen ;; $ 63.000,00 
;;PATRICIO REY DOBLE;1; $ 15.700,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;10; $ 256.000,00 
;;PROMO 2-- 2 x Charly doble ;10; $ 224.000,00 
;;Red Hot DOBLE;3; $ 45.300,00 
;;Red Hot Simple 110g ;5; $ 60.500,00 
;;RESIDENTE DOBLE;6; $ 98.400,00 
;;RESIDENTE SIMPLE;8; $ 107.200,00 
;;RIHANNA ;8; $ 79.200,00 
;;Rolling Stone Doble 220g;4; $ 58.400,00 
;;Sprite 1.5L;4; $ 17.200,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;techno Chicken;2; $ 20.200,00 
;;Duko Simple;7; $ 86.800,00 
;;Duko Doble;24; $ 369.600,00 
;;Duko Triple 330g ;5; $ 93.500,00 
;;Beatle Triple ;1; $ 18.200,00 
;;Rolling Stone Triple;1; $ 17.900,00 
;;FANTA 500 ml;1; $ 2.400,00 
;;Porcion de Faina;; $ 3.000,00 
;;NIRVANA  ;1; $ 14.200,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 20.000,00 
;;John Lennon Mediana;3; $ 48.000,00 
;;John Lennon XL;1; $ 22.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;3; $ 75.000,00 
;;Creedence XL;3; $ 81.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;Empanada de Jamon y Queso;2; $ 5.000,00 
;;6 empanadas;2; $ 26.000,00 
;;3 empanadas;1; $ 7.000,00 
;;Freddie Mercury XL;1; $ 21.000,00 
31/1/2026;379649;2 tostados AMERICANOS;1; $ 9.000,00 
;;2 tostados CLASSIC;1; $ 9.000,00 
;;ACDC Triple;1; $ 18.800,00 
;;Andes Rubia;1; $ 3.000,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.100,00 
;;Beatle Simple 110g ;1; $ 11.900,00 
;;BIZARRAP Session #1 ;2; $ 19.800,00 
;;Charly Doble 220g ;1; $ 14.100,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;6; $ 81.000,00 
;;Clasic Simple 110g ;1; $ 10.500,00 
;;CLASICO + levite;1; $ 6.400,00 
;;ENVIO;; $ 13.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );3; $ 21.300,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Mala Fama Simple 110g ;1; $ 13.400,00 
;;Mala Fama Triple 330g ;1; $ 19.700,00 
;;Papas con Cheddar;; $ 2.100,00 
;;Papas Queen ;; $ 9.000,00 
;;Red Hot Simple 110g ;1; $ 12.100,00 
;;Red Hot Triple 330g ;1; $ 18.400,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;379650;2 tostados AMERICANOS;1; $ 9.000,00 
;;ACDC Doble;6; $ 93.000,00 
;;ACDC Simple ;4; $ 50.000,00 
;;ACDC Triple;1; $ 18.800,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 27.200,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 16.200,00 
;;Beatle Doble 220g ;6; $ 89.400,00 
;;Beatle Simple 110g ;4; $ 47.600,00 
;;BIZZARAP session #2;4; $ 39.600,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;Bob marley Simple;2; $ 22.600,00 
;;cambio x dip cheddar;; $ 4.500,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;4; $ 56.400,00 
;;Charly Simple 110g;3; $ 33.300,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;25; $ 337.500,00 
;;Clasic Simple 110g ;16; $ 168.000,00 
;;Clasic Triple 330g;5; $ 84.000,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;11; $ 47.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 3.300,00 
;;dip de cheddar;; $ 8.100,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 100.100,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;9; $ 183.600,00 
;;Fried Onion Doble 220g;4; $ 60.400,00 
;;Gorillaz Doble;3; $ 48.000,00 
;;Gorillaz simple ;2; $ 26.000,00 
;;Gorillaz Triple;2; $ 38.600,00 
;;HC doble;3; $ 49.200,00 
;;HC simple;2; $ 26.800,00 
;;HC TRIPLE;3; $ 59.100,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;4; $ 87.200,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 14.200,00 
;;KISS SIMPLE;2; $ 24.400,00 
;;LADY GAGA;1; $ 9.900,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;MADONNA veggie;1; $ 11.600,00 
;;MADONNA veggie DOBLE;1; $ 14.500,00 
;;Mala Fama Doble 220g;6; $ 98.400,00 
;;Mala Fama Simple 110g ;6; $ 80.400,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;NUGGETS X12 + PAPAS + BBQ;11; $ 93.500,00 
;;Nugget's X6 ;; $ 42.000,00 
;;Papas con Cheddar;3; $ 47.700,00 
;;PAPAS QUEEN;5; $ 41.500,00 
;;Papas Queen ;; $ 54.000,00 
;;PATRICIO REY DOBLE;1; $ 15.700,00 
;;PATRICIO REY SIMPLE;2; $ 25.400,00 
;;PROMO 1 -- 4 X Classic simple;13; $ 332.800,00 
;;PROMO 2-- 2 x Charly doble ;11; $ 246.400,00 
;;Red Hot DOBLE;3; $ 45.300,00 
;;Red Hot Simple 110g ;6; $ 72.600,00 
;;RESIDENTE DOBLE;9; $ 147.600,00 
;;RESIDENTE SIMPLE;2; $ 26.800,00 
;;Sprite 1.5L;4; $ 17.200,00 
;;SPRITE 500 ml ;2; $ 4.800,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Techno Chicken DOBLE ;1; $ 13.000,00 
;;Duko Simple;8; $ 99.200,00 
;;Duko Doble;7; $ 107.800,00 
;;Duko Triple 330g ;5; $ 93.500,00 
;;Beatle Triple ;1; $ 18.200,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 12.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;John Lennon XL;6; $ 132.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;Elvis Presley MEDIANA;3; $ 81.000,00 
;;Elvis Presley XL;2; $ 68.000,00 
;;6 empanadas;2; $ 26.000,00 
;;3 empanadas;1; $ 7.000,00 
;;EXTRA CHEDDAR ;; $ 4.500,00 
1/2/2026;380650;2 tostados CLASSIC;1; $ 9.000,00 
;;ACDC Doble;5; $ 77.500,00 
;;ACDC Simple ;3; $ 37.500,00 
;;ACDC Triple;1; $ 18.800,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;5; $ 63.500,00 
;;Andes Rubia;4; $ 12.000,00 
;;Aros de Cebolla 6 unid.;; $ 27.200,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.100,00 
;;Beatle Doble 220g ;7; $ 104.300,00 
;;Beatle Simple 110g ;2; $ 23.800,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;Bob Marley Doble ;2; $ 28.600,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;3; $ 52.200,00 
;;Charly Doble 220g ;7; $ 98.700,00 
;;Charly Simple 110g;4; $ 44.400,00 
;;Clasic Doble 220g;27; $ 364.500,00 
;;Clasic Simple 110g ;16; $ 168.000,00 
;;Clasic Triple 330g;8; $ 134.400,00 
;;Coca Cola 1.5 Lts;8; $ 34.400,00 
;;Coca Cola Zero 1.5 Lts;7; $ 30.100,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 18.900,00 
;;Eminem;5; $ 83.000,00 
;;ENVIO;; $ 119.600,00 
;;franui Chocolate semiamargo + chocolate blanco;2; $ 18.000,00 
;;Freestyle;6; $ 122.400,00 
;;Fried Onion Doble 220g;4; $ 60.400,00 
;;Fried Onion Simple 110g ;1; $ 12.100,00 
;;Gorillaz Doble;2; $ 32.000,00 
;;Gorillaz simple ;2; $ 26.000,00 
;;HC doble;10; $ 164.000,00 
;;HC simple;1; $ 13.400,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;1; $ 21.800,00 
;;KISS DOBLE;2; $ 30.400,00 
;;KISS SIMPLE;1; $ 12.200,00 
;;LADY GAGA;3; $ 29.700,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;3; $ 15.000,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;MADONNA veggie DOBLE;1; $ 14.500,00 
;;Mala Fama Doble 220g;16; $ 262.400,00 
;;Mala Fama Simple 110g ;9; $ 120.600,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;5; $ 42.500,00 
;;Nugget's X6 ;; $ 50.400,00 
