FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;6; $ 145.200,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 105.500,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;Red Hot Simple 110g ;1; $ 11.400,00 
;;Red Hot Triple 330g ;1; $ 17.700,00 
;;RESIDENTE SIMPLE;2; $ 25.200,00 
;;RIHANNA ;2; $ 18.800,00 
;;Rolling Stone Doble 220g;3; $ 41.700,00 
;;Sprite 1.5L;3; $ 12.900,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Techno Chicken DOBLE ;1; $ 12.500,00 
;;TIRAMISU;1; $ 4.200,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;8; $ 117.600,00 
;;Beatle Triple ;1; $ 17.500,00 
;;NIRVANA 2;1; $ 13.500,00 
;;Porcion Extra de Papas Medianas;; $ 10.000,00 
;;John Lennon XL;1; $ 22.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;12 empanadas;2; $ 50.000,00 
;;3 empanadas;1; $ 7.000,00 
;;EXTRA CHEDDAR ;; $ 3.000,00 
8/1/2026;366623;ACDC Doble;2; $ 29.600,00 
;;ACDC Triple;1; $ 18.100,00 
;;Aros de Cebolla 6 unid.;; $ 3.200,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 7.600,00 
;;Beatle Doble 220g ;2; $ 28.400,00 
;;Charly Doble 220g ;1; $ 13.500,00 
;;Charly Simple 110g;3; $ 31.500,00 
;;Clasic Doble 220g;1; $ 12.900,00 
;;Clasic Simple 110g ;2; $ 19.800,00 
;;Clasic Triple 330g;1; $ 16.200,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 16.900,00 
;;Freestyle;1; $ 19.200,00 
;;HC doble;1; $ 15.600,00 
;;HC simple;2; $ 25.200,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 6.700,00 
;;Mala Fama Doble 220g;2; $ 31.200,00 
;;MESA;;
;;Papas con Cheddar;; $ 6.000,00 
;;PAPAS QUEEN;1; $ 7.800,00 
;;Papas Queen ;; $ 8.400,00 
;;PROMO 1 -- 4 X Classic simple;1; $ 24.200,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;3; $ 44.100,00 
